,answer,question,context
0,"
4 servings

2 Tbsp. vegetable oil
1 medium onion, diced
4 cloves garlic, minced
2 Tbsp. chopped fresh ginger
2 Tbsp. tomato paste
1 Tbsp. curry powder
2 cans (19 ounces each) chick peas,","Salt, Sugar, Spices , Garlic Onion, Sunflower Oil, Vinegar, Poha","[Document(page_content='½ capsicum + 1 green chilli + ½ cup  water measured in big sized coﬀee mug)Khaskhas/ poppy seeds paste (8-10 tsp  poppy seeds + ½ cup water  measured in big sized coﬀee mug)Onion paste 1 onion\nGreen chillies As per taste\nTurmeric / haldi 1 tsp \nSalt {1 tsp salt for marinating prawns  3 tsp  and 2 tsp salt for cooking}Red chilli powder 1 tsp \nMustard oil 2 tsp\nNote\nCover the top with parchment paper to avoid ice crystal on top.\nBACK TO INDEX'), Document(page_content='½ capsicum + 1 green chilli + ½ cup  water measured in big sized coﬀee mug)Khaskhas/ poppy seeds paste (8-10 tsp  poppy seeds + ½ cup water  measured in big sized coﬀee mug)Onion paste 1 onion\nGreen chillies As per taste\nTurmeric / haldi 1 tsp \nSalt {1 tsp salt for marinating prawns  3 tsp  and 2 tsp salt for cooking}Red chilli powder 1 tsp \nMustard oil 2 tsp\nNote\nCover the top with parchment paper to avoid ice crystal on top.\nBACK TO INDEX')]"
1,"1 2/3 c. red raspberries, pureed
6 Tbsp. sugar
2 Tbsp. glucose syrup
2 tsp. citric acid
1 1/4 tsp. wheat flour
Combine all ingredients in a stainless steel saucepan, except the glucose syrup and citric acid. Bring to boil over medium heat; add remaining ingredients, and cook for approximately 5 minutes, or until mixture reaches jelling point. Pour into a lightly oiled pan, and allow to set.

You should have 10 servings.
Nutritional value per serving: Calories, 36; fat, 2.7 g; cholesterol, 0; sodium, 4 mg; carbohydrates, 5.8 g; protein, 0.8 g; calcium, 11 mg; iron, 2.8 mg.

You can return to the main page or go back to the previous page by clicking on one of these links: Go back to the previous recipe Go to main index","Red Raspberries,Sugar,Glucose Syrup,Citric Acid, Wheat","[Document(page_content='hummus, beans, cheese, cream cheese, etc.)'), Document(page_content='hummus, beans, cheese, cream cheese, etc.)')]"
2,"Sugar

- 2 tsp. soy sauce
- 1/2 c. plum sauce
- 1/3 c. rice vinegar
- 3 Tbsp. water
- 1/4 c. pineapple juice
- 1/8 tsp. salt
- 1 tsp. tomato paste","Sugar,water,soy sauce,plum sauce,rice vinegar,pineapple juice ,salt,tomato paste","[Document(page_content='-Basil pesto sauce, sliced red tomatoes, cooked an d diced chicken, caramelized onions, \nmozzarella cheese  \n-Creamy alfredo sauce, bacon pieces, cooked and diced chicken, spinach  \n-Tomato sauce, Canadian bacon, pineapple, mozzarella cheese  \n-BBQ sauce, chicken, red onions, mozzarella cheese  \n-Tomato or basil pe sto sauce, onions, green and red peppers, mushrooms, banana peppers, \nsundried tomatoes, spinach, feta cheese  \n-Tomato sauce, fresh mozzarella slices, fresh basil'), Document(page_content='-Basil pesto sauce, sliced red tomatoes, cooked an d diced chicken, caramelized onions, \nmozzarella cheese  \n-Creamy alfredo sauce, bacon pieces, cooked and diced chicken, spinach  \n-Tomato sauce, Canadian bacon, pineapple, mozzarella cheese  \n-BBQ sauce, chicken, red onions, mozzarella cheese  \n-Tomato or basil pe sto sauce, onions, green and red peppers, mushrooms, banana peppers, \nsundried tomatoes, spinach, feta cheese  \n-Tomato sauce, fresh mozzarella slices, fresh basil')]"
3,"1 c. brown rice crisp cereal (can use Rice Krispies) 3/4 c. brown sugar 1 c. oats 1/2 c. margarine or butter 1/8 tsp. salt 1/2 c. honey (preferably dark amber) 1/8 tsp. baking soda 2 Tbsp. evaporated cane juice (Sucanat)
Preheat oven to 350. Mix oats, cereal and","Rolled Oats,Brown Rice Syrup,Evaporated Cane Juice,Brown Rice Crisp Water","[Document(page_content='½ cup  rolled oats  \n2/3 cup milk of choice (if using soy, rice, almond, or another non -dairy milk use unsweetened)  \n1 tbsp. chia seeds or ground flax seeds  \n½ tsp. vanilla extract  \nPinch of salt  \nUp to 2 tbsp. honey or maple syrup  \n \nOptional Mix -ins (these can be added before refrigerating or as toppings later) : \nFruit (bananas, berries , peaches, apple chunks ) \nNut butter  \nCocoa powder  \nCoconut  \nNuts'), Document(page_content='½ cup  rolled oats  \n2/3 cup milk of choice (if using soy, rice, almond, or another non -dairy milk use unsweetened)  \n1 tbsp. chia seeds or ground flax seeds  \n½ tsp. vanilla extract  \nPinch of salt  \nUp to 2 tbsp. honey or maple syrup  \n \nOptional Mix -ins (these can be added before refrigerating or as toppings later) : \nFruit (bananas, berries , peaches, apple chunks ) \nNut butter  \nCocoa powder  \nCoconut  \nNuts')]"
4,"1 c. rice, 2 c. water, 2 Tbsp. sugar, 3 c. milk, 1/2 tsp. cardamom (optional). Boil rice in salted water for 5 minutes. Add cardamom (and other spices if desired) and cook until almost tender. Drain and rinse with cold water.
In a saucepan, combine sugar and milk and heat over low heat, stirring frequently. Stir into rice until blended well. Cover and let stand for 5 minutes before serving.","Rice, Water, Suger, Milk, Cardamom","[Document(page_content='hummus, beans, cheese, cream cheese, etc.)'), Document(page_content='hummus, beans, cheese, cream cheese, etc.)')]"
5,"1 (10 3/4 -ounce) can condensed tomato soup 
2 cups cold water 
1 (8 1/2-ounce) box corn muffin mix 
3 tablespoons oil 
1 cup shredded Cheddar cheese 
Cooked chopped bacon, sliced black olives and diced green onions for garnish
Pour the soup in a bowl. Add cold water and stir until dissolved. Add muffin mix, oil, 1 cup cheese, salt and pepper to taste (if desired). Stir well,","milk, buttermilk, canola oil","[Document(page_content='½ cup  rolled oats  \n2/3 cup milk of choice (if using soy, rice, almond, or another non -dairy milk use unsweetened)  \n1 tbsp. chia seeds or ground flax seeds  \n½ tsp. vanilla extract  \nPinch of salt  \nUp to 2 tbsp. honey or maple syrup  \n \nOptional Mix -ins (these can be added before refrigerating or as toppings later) : \nFruit (bananas, berries , peaches, apple chunks ) \nNut butter  \nCocoa powder  \nCoconut  \nNuts'), Document(page_content='½ cup  rolled oats  \n2/3 cup milk of choice (if using soy, rice, almond, or another non -dairy milk use unsweetened)  \n1 tbsp. chia seeds or ground flax seeds  \n½ tsp. vanilla extract  \nPinch of salt  \nUp to 2 tbsp. honey or maple syrup  \n \nOptional Mix -ins (these can be added before refrigerating or as toppings later) : \nFruit (bananas, berries , peaches, apple chunks ) \nNut butter  \nCocoa powder  \nCoconut  \nNuts')]"
6,"1. Heat oil in skillet. Saute garlic until fragrant. Add flour to thicken. Add chicken broth and simmer for 20 minutes, stirring often. Add peas and potatoes. Simmer for 1 hour or until vegetables are soft. Adjust seasonings.","pea, garlic, flour, salt, potato","[Document(page_content='hummus, beans, cheese, cream cheese, etc.)'), Document(page_content='hummus, beans, cheese, cream cheese, etc.)')]"
7,"29 
 
 Tomatoes  
Chopped carrots  
Pickles  
Coleslaw  
Peppers (green, red, yellow, orange, or hot","tomatos, curd, rice, onion","[Document(page_content='29 \n \n \n Tomatoes  \nChopped carrots  \nPickles  \nColeslaw  \nPeppers (green, red, yellow, orange, or hot)  \nOnions  \nAvocado  \nCucumber  \nMushroom  \nSprouts  \n \n \n \nCucumber Sandwiches (makes 4)  \n \n8 thick slices whole -wheat bread \n½ cup (4 oz.) cream cheese, softened (can be plain or flavored as desired)  \n1 to 2 English cucumbers sliced into about 24 pieces  \n½ cup alfalfa sprouts  \n4 tsp. olive oil  \n4 tsp. red wine vinegar  \n2 tomatoes, sliced  \n4 lettuce leaves'), Document(page_content='29 \n \n \n Tomatoes  \nChopped carrots  \nPickles  \nColeslaw  \nPeppers (green, red, yellow, orange, or hot)  \nOnions  \nAvocado  \nCucumber  \nMushroom  \nSprouts  \n \n \n \nCucumber Sandwiches (makes 4)  \n \n8 thick slices whole -wheat bread \n½ cup (4 oz.) cream cheese, softened (can be plain or flavored as desired)  \n1 to 2 English cucumbers sliced into about 24 pieces  \n½ cup alfalfa sprouts  \n4 tsp. olive oil  \n4 tsp. red wine vinegar  \n2 tomatoes, sliced  \n4 lettuce leaves')]"
8,"1. In a small bowl, whisk together the unsifted flour, cocoa powder, and salt.
2. In a large bowl, cream butter until light and fluffy. Add sugar and beat well. Add eggs one at a time, beating after each addition.
3. Gradually add dry ingredients to mixture and beat thoroughly. Pour batter into the prepared pan. Bake for 50 minutes or until cake tests done. Cool in pan on wire rack.
4. While cake cools, in a saucepan over medium heat, dissolve the sugar in the water. Boil 1 minute without stirring. Remove from heat and add lemon juice, vanilla and butter. Beat well. Let mixture cool 5 minutes and pour over warm cake.

Makes 8 to 10 servings.

Note: Lemon syrup can be prepared several days in advance and stored in the refrigerator; reheat before using.

Recipe by Marlene Lentz of Waupun, Wis., a winner in a ""Pillsbury Best Recipes"" contest in","unsalted butter, cocoa, granulated sugar, eggs, all-purpose flour","[Document(page_content='Powdered Sugar 1 cup  (brown sugar + (3/4 cup + white sugar) 1/4 cup)Unsalted Butter 100 g Vanilla essence 1 tsp Dark chocolate 1 cup Eggs 2 \nCocoa powder for dusting 1 tbsp \nCREATIVITY IN ADVERSITY\n 7\nBACK TO INDEX'), Document(page_content='Powdered Sugar 1 cup  (brown sugar + (3/4 cup + white sugar) 1/4 cup)Unsalted Butter 100 g Vanilla essence 1 tsp Dark chocolate 1 cup Eggs 2 \nCocoa powder for dusting 1 tbsp \nCREATIVITY IN ADVERSITY\n 7\nBACK TO INDEX')]"
9,"1. Melt the chocolate in a double boiler with 1/4 cup of almond milk. Stir until smooth.
2. Mix all ingredients together in a large bowl. Refrigerate for about an hour.
3. Scoop out the mixture and place on wax paper. Roll into balls and roll in sugar. Store in fridge or freezer.

Additional recipes:
Bake the following ingredients at 400 degrees F until golden brown: 1/2 cup sugar, 1/2 teaspoon salt, 1 egg, 1 stick of margarine (melted), 2 cups sifted all-purpose flour, 3 teaspoons baking powder, 1/2 teaspoon vanilla.

Bake in a greased and floured pan at 350 degrees for about an hour: 1 cup flour, 1 teaspoon sugar, 1 egg, ","Almondmilk, Evaporated Cane Juice,Cocoa, Calcium Carbonate,Sea Salt","[Document(page_content='Baking soda 1 tsp\nBrown sugar 1 cup\nVanilla essence 1 tsp\nOlive oil 1/2 cup\nMilk 1 cup\nVinegar (you can also use  2 tsp\n lemon juice)\nBanana (ripe) 3\nCardamon powder 1 tsp\nSalt 1 tsp\nWalnuts (optional) 1/2 cup\nBACK TO INDEX'), Document(page_content='Baking soda 1 tsp\nBrown sugar 1 cup\nVanilla essence 1 tsp\nOlive oil 1/2 cup\nMilk 1 cup\nVinegar (you can also use  2 tsp\n lemon juice)\nBanana (ripe) 3\nCardamon powder 1 tsp\nSalt 1 tsp\nWalnuts (optional) 1/2 cup\nBACK TO INDEX')]"
