,ground_truth,answer,question,contexts
0,0,"1. Combine all ingredients in a pot, then cover with water or broth. Cook on medium heat until rice is done.""","Garlic powder,Salt,Cooking oil","1 minced garlic clove  
1 tsp. finely grated lime zest  
2 T. lime juice  
½ tsp. kosher salt  
2 T. minced cilantro (optional and after cooking)  
 
1. Combi ne all ingredients except the cilantro and cook in a rice cooker.   
2. Add cilantro if desired after rice is finished cooking.1 minced garlic clove  
1 tsp. finely grated lime zest  
2 T. lime juice  
½ tsp. kosher salt  
2 T. minced cilantro (optional and after cooking)  
 
1. Combi ne all ingredients except the cilantro and cook in a rice cooker.   
2. Add cilantro if desired after rice is finished cooking."
1,1,"Cream Prawns Recipe - How to make Cream Prawns Recipe in Indian Cooking at Kitchen Tadka. Cream prawn recipe with step-by-step instructions, cooking tips and videos on","cream,flour,onion,green chilli,tumeric,powder,cumin seeds","½ capsicum + 1 green chilli + ½ cup  water measured in big sized coﬀee mug)Khaskhas/ poppy seeds paste (8-10 tsp  poppy seeds + ½ cup water  measured in big sized coﬀee mug)Onion paste 1 onion
Green chillies As per taste
Turmeric / haldi 1 tsp 
Salt {1 tsp salt for marinating prawns  3 tsp  and 2 tsp salt for cooking}Red chilli powder 1 tsp 
Mustard oil 2 tsp
Note
Cover the top with parchment paper to avoid ice crystal on top.
BACK TO INDEX½ capsicum + 1 green chilli + ½ cup  water measured in big sized coﬀee mug)Khaskhas/ poppy seeds paste (8-10 tsp  poppy seeds + ½ cup water  measured in big sized coﬀee mug)Onion paste 1 onion
Green chillies As per taste
Turmeric / haldi 1 tsp 
Salt {1 tsp salt for marinating prawns  3 tsp  and 2 tsp salt for cooking}Red chilli powder 1 tsp 
Mustard oil 2 tsp
Note
Cover the top with parchment paper to avoid ice crystal on top.
BACK TO INDEX"
2,2,"Sambar:
1) Roast chana","garlic,carrots,parsnips,curry powder,rice,chat masala","Vada 
Sambhar
FOR SAMBHAR
Toor dal ½ cup 
Tomato 1
Turmeric / haldi ¼ tsp 
Water 1½ cup 
Oil 3 tsp 
Mustard / rai 1 tsp 
Hing / asaofetida A pinch of 
Dried red chilli 1 
Curry leaves few 
Green chilli, slit 2 
Onion, petals ½ 
Tamarind extract ½ cup Jaggery / gud ½ tsp 
Salt 1 tsp 
Water 1½ cup 
Sambar powder 1 tbsp 
Ghee / clari/f_ied butter 1 tbsp FOR VADA
Urad dal 1 cupVada 
Sambhar
FOR SAMBHAR
Toor dal ½ cup 
Tomato 1
Turmeric / haldi ¼ tsp 
Water 1½ cup 
Oil 3 tsp 
Mustard / rai 1 tsp 
Hing / asaofetida A pinch of 
Dried red chilli 1 
Curry leaves few 
Green chilli, slit 2 
Onion, petals ½ 
Tamarind extract ½ cup Jaggery / gud ½ tsp 
Salt 1 tsp 
Water 1½ cup 
Sambar powder 1 tbsp 
Ghee / clari/f_ied butter 1 tbsp FOR VADA
Urad dal 1 cup"
3,3,"Combine all these ingredients in a bowl, mix well. Add 1 cup water to it and let it sit for some time before using it to coat the vegetables before cooking them.""","flour,garlic,coriander,chilli powder,garam masala,haldi powder,green chilli","Hing ¼ tsp
82
FOR BATTERCabbage 1 small
Capsicum 1
Onion 1-2
Carrot 1-2
Coriander leaves ..Green chilli  1-2
Suji/Rava 1 cup
Salt ½ tsp
Garam masala powder ½ tspBlack pepper ¼tsp
Chilli /f_lakes ½tsp
Fresh curd 1/4 cup
BACK TO INDEXHing ¼ tsp
82
FOR BATTERCabbage 1 small
Capsicum 1
Onion 1-2
Carrot 1-2
Coriander leaves ..Green chilli  1-2
Suji/Rava 1 cup
Salt ½ tsp
Garam masala powder ½ tspBlack pepper ¼tsp
Chilli /f_lakes ½tsp
Fresh curd 1/4 cup
BACK TO INDEX"
4,4,Semolina Kulfi,"semolina,khoya,cooking oil,cardamon powder,water","recipe book - grange town primary school
page 20
INGREDIENT
2 cups sugar
1/2 cup semolina / rava7-8 strains saffron700 grams khoya400 grams refined cooking oil 2 cups water1 teaspoon cardamon powderBanglaya culinary style originating in Bengal, a region in the 
eastern part of the Indian subcontinent, which is 
now divided between Bangladesh and West Bengal
subtle (yet sometimes fiery) flavours
COOKING STEP
1 Mix the semolina with khoya thoroughlyrecipe book - grange town primary school
page 20
INGREDIENT
2 cups sugar
1/2 cup semolina / rava7-8 strains saffron700 grams khoya400 grams refined cooking oil 2 cups water1 teaspoon cardamon powderBanglaya culinary style originating in Bengal, a region in the 
eastern part of the Indian subcontinent, which is 
now divided between Bangladesh and West Bengal
subtle (yet sometimes fiery) flavours
COOKING STEP
1 Mix the semolina with khoya thoroughly"
5,5,"Make cookies with 1 cup of powdered sugar. Cream butter and sugar together until creamy. Mix in cocoa, egg whites and coffee. Sift flour into a bowl. Add vanilla essence to melted chocolate, then mix with flour and fold into the wet mixture. Bake at 350 degree Fahrenheit for about 20 minutes or until a tester comes out clean. Dust with cocoa powder once cooled.
Note: You will need to adjust amount of coffee to your taste as it can be quite strong.""","dark chocolate,coffee,cacao,eggs,powdered sugar","Powdered Sugar 1 cup  (brown sugar + (3/4 cup + white sugar) 1/4 cup)Unsalted Butter 100 g Vanilla essence 1 tsp Dark chocolate 1 cup Eggs 2 
Cocoa powder for dusting 1 tbsp 
CREATIVITY IN ADVERSITY
 7
BACK TO INDEXPowdered Sugar 1 cup  (brown sugar + (3/4 cup + white sugar) 1/4 cup)Unsalted Butter 100 g Vanilla essence 1 tsp Dark chocolate 1 cup Eggs 2 
Cocoa powder for dusting 1 tbsp 
CREATIVITY IN ADVERSITY
 7
BACK TO INDEX"
6,6,"For 8 servings  
Melt butter in a heavy saucepan over medium heat; add onion and garlic and cook until the onion is translucent. Cook for about 10 minutes or until tender. Add potatoes and leeks; cook for about 30 minutes or until done. Remove from heat and puree in","onion,potatoes,leeks,vegetable stock,cream,Salt,pepper","70 
 
 
 Broccoli and Aged Cheddar Soup  
 
½ yellow  onion, chopped  
3 large garlic cloves, minced  
Olive oil or butter  
1 head of broccoli and stem, woody part of stem removed and cut into smaller pieces  
2 palm size Yukon gold potatoes, peeled and cubed  
1 large leaf of chard, chopped  
2 cups vegetable or chick en stock (can be made canned or made from bouillon)  
1 cup cream, half and half, or milk  
½ to 1 cup aged cheddar cheese  
Salt and pepper to taste70 
 
 
 Broccoli and Aged Cheddar Soup  
 
½ yellow  onion, chopped  
3 large garlic cloves, minced  
Olive oil or butter  
1 head of broccoli and stem, woody part of stem removed and cut into smaller pieces  
2 palm size Yukon gold potatoes, peeled and cubed  
1 large leaf of chard, chopped  
2 cups vegetable or chick en stock (can be made canned or made from bouillon)  
1 cup cream, half and half, or milk  
½ to 1 cup aged cheddar cheese  
Salt and pepper to taste"
7,7,"Mix mango puree with 3 tbsp sugar, then add water to make a syrup. Pour over bread slices and cut into wedges. To make whipped cream, beat eggs, add 2 tablespoons caster sugar, 1 tablespoon vanilla extract and pour on top of fruit.""","caster,sugar,eggs,mango,double cream","55
Mango 1 1/2 /f_inely chopped 
Mango puree 1/2 
Sugar 3 tbsp
Water 4 tbsp
Bread slices 12Whipping cream 1 1/2 cup
BACK TO INDEX55
Mango 1 1/2 /f_inely chopped 
Mango puree 1/2 
Sugar 3 tbsp
Water 4 tbsp
Bread slices 12Whipping cream 1 1/2 cup
BACK TO INDEX"
8,8,"Mix Jaggery and small cardamom; roast them in oil. Add mushroom pieces to it. Heat until the jaggery melts completely and turn brownish-black. Turn off the heat when it reaches this point."" ","Mushroom,Ghee,Small cardamom,Jaggery,Oil","Jaggery /Sugar 150gm 
 Oil t o fry
DEVELOPED BY
Krishi Vigyan Kendra Harnaut (Nalanda)Jaggery /Sugar 150gm 
 Oil t o fry
DEVELOPED BY
Krishi Vigyan Kendra Harnaut (Nalanda)"
9,9,"Coffee milkshake.""","Milk,Sugar","Milk 2.5 to 3 cups 
(you can also use soy milk or almond 
milk or cashew milk. i used cashew milk.)
Coconut sugar or unre/f_ined organic cane Sugar As required
Ice cubes (optional) Few 
76
BACK TO INDEXMilk 2.5 to 3 cups 
(you can also use soy milk or almond 
milk or cashew milk. i used cashew milk.)
Coconut sugar or unre/f_ined organic cane Sugar As required
Ice cubes (optional) Few 
76
BACK TO INDEX"
